date,close,high,low,open,volume,daily_return,momentum_5,momentum_20,ma_20_ratio,ma_5_20_spread,volatility_20
2025-02-03,284.4100036621094,288.760009765625,269.29998779296875,272.9800109863281,9517700,-0.02375307462021159,0.02309440502631621,0.10575021620721814,-0.013389135222988902,0.03339248265235284,0.04087559197592521
2025-02-04,280.3900146484375,289.3900146484375,278.6300048828125,283.0,6013500,-0.014134485292042642,-0.0050741346909983776,0.0359875151361666,0.0024929063695195985,0.030584611321625932,0.03958295942007616
2025-02-05,275.1400146484375,285.760009765625,274.55999755859375,283.6099853515625,5344600,-0.0187239192757368,-0.054501667874785276,-0.043855972647020125,0.019328291104449224,0.02159325281635982,0.03713430766075692
2025-02-06,270.3699951171875,284.6000061035156,269.0,279.5199890136719,6717700,-0.017336698689010888,-0.10265514081943494,0.0228502585849093,0.03842884359856624,-0.0015386751727114456,0.032337354992347314
2025-02-07,274.489990234375,282.57000732421875,271.75,274.04998779296875,7885600,0.015238359254331257,-0.05780385512671349,0.05569008855390756,0.02548001898496044,-0.016071949838153965,0.03218454415243685
2025-02-10,280.2200012207031,285.55999755859375,274.6000061035156,280.3999938964844,5521800,0.02087511818349186,-0.014732261128142854,0.08285030737515209,0.008336304646062276,-0.022770697961314812,0.032361144561356456
2025-02-11,266.8999938964844,279.0,265.8299865722656,277.54998779296875,6915000,-0.04753410629574517,-0.04811163039763511,0.06249998861057726,0.06159987578007642,-0.03500023409939257,0.03359673981356728
2025-02-12,274.8999938964844,277.79998779296875,263.4800109863281,264.3900146484375,6362800,0.029973773634115464,-0.0008723585780854304,0.07647726495955287,0.034257936041415915,-0.038483404716152525,0.034000366814361395
2025-02-13,298.1099853515625,302.3999938964844,282.5,284.0,18900200,0.08443067286432182,0.10260010628158489,0.08431234602736448,-0.04237860532480642,-0.022952877103522895,0.034910971193126236
2025-02-14,274.30999755859375,291.54998779296875,274.0,288.0199890136719,19269700,-0.0798362650110539,-0.0006557349345510666,-0.025991574751648483,0.03937334442888152,-0.021824889638623834,0.03930918334739347
2025-02-18,264.6300048828125,279.17999267578125,260.5,278.79998779296875,11564800,-0.0352885157738867,-0.055634845014549295,-0.1044064063776654,0.07156404804947192,-0.027499591528423295,0.03820398348977297
