date,close,high,low,open,volume,daily_return,momentum_5,momentum_20,ma_20_ratio,ma_5_20_spread,volatility_20
2025-02-03,383.67999267578125,389.1700134277344,374.3599853515625,386.67999267578125,93732100,-0.05170542044525339,-0.03391665977014724,0.011600912019209098,0.05619006626087919,-0.024896411660043638,0.03484171205814112
2025-02-04,392.2099914550781,394.0,381.3999938964844,382.6300048828125,57072200,0.022232065633156273,-0.014770541678775784,-0.044415775455343476,0.03089545179065234,-0.02560671091683775,0.029706337502394858
2025-02-05,378.1700134277344,388.3900146484375,375.5299987792969,387.510009765625,57223300,-0.035797094243459227,-0.028090445911926998,-0.07999020883512309,0.06482133252635291,-0.027057222845619178,0.03064074322652069
2025-02-06,374.32000732421875,375.3999938964844,363.17999267578125,373.0299987792969,77918200,-0.010180622383618276,-0.06485458062917537,-0.050816459001230996,0.07309652398661037,-0.037555865951339196,0.029445124218626023
2025-02-07,361.6199951171875,380.54998779296875,360.3399963378906,370.19000244140625,70298300,-0.0339282217314959,-0.10622839925348848,-0.08436726368117686,0.10617638336735435,-0.05503661343810007,0.030265463332259195
2025-02-10,350.7300109863281,362.70001220703125,350.510009765625,356.2099914550781,77514900,-0.030114441341470455,-0.08587881129704,-0.11149105825816163,0.13424853000433923,-0.06637506320287367,0.03080650842532971
2025-02-11,328.5,349.3699951171875,325.1000061035156,345.79998779296875,118543400,-0.06338211812502892,-0.16243847133704437,-0.18549006474287855,0.19961795893978307,-0.08984720956188663,0.03267738439483829
2025-02-12,336.510009765625,346.3999938964844,329.1199951171875,329.94000244140625,105382700,0.0243835913717656,-0.11016210218389066,-0.15099903571964235,0.16217048344209894,-0.10418785834541233,0.03348766039888615
2025-02-13,355.94000244140625,358.69000244140625,342.8500061035156,345.0,89441500,0.05773971683431944,-0.049102384385488085,-0.16879173923042423,0.08857672117716198,-0.10531965748856942,0.030615552067632303
2025-02-14,355.8399963378906,362.0,347.5,360.6199951171875,68277300,-0.0002809633725618932,-0.015983626064216327,-0.14010925030239552,0.08073573572929704,-0.10158124111171352,0.030093241984681662
2025-02-18,354.1099853515625,359.1000061035156,350.0199890136719,355.010009765625,51631700,-0.004861766535893763,0.009636969347815993,-0.16973039776890386,0.07579428784960629,-0.09127062977373013,0.028768541066398864
2025-02-19,360.55999755859375,367.3399963378906,353.6700134277344,354.0,67094400,0.018214714280444966,0.0975951219439688,-0.14976303126542267,0.0477424050959685,-0.06665890399423591,0.029397019966230172
2025-02-20,354.3999938964844,362.29998779296875,348.0,361.510009765625,45965400,-0.01708454543992588,0.053163304542766854,-0.14625037603868285,0.05738856067853049,-0.0495505648891561,0.029313339280065742
2025-02-21,337.79998779296875,354.9800109863281,334.4200134277344,353.44000244140625,74058600,-0.046839747148427646,-0.05096368636291071,-0.18085265096943148,0.09831116638043258,-0.04977637089769371,0.03060334448990449
2025-02-24,330.5299987792969,342.3999938964844,324.70001220703125,338.1400146484375,76052300,-0.021521578674915554,-0.07112746689262117,-0.1870480355762706,0.110964210700089,-0.05372176067827572,0.030707416684525
2025-02-25,302.79998779296875,328.8900146484375,297.25,327.0199890136719,134228800,-0.0838955952220366,-0.14489847697362412,-0.23756768866552613,0.19712520975796588,-0.069716518171968,0.03482011305722388
