date,close,high,low,open,volume,daily_return,ma_5,ma_20,ma_60,volatility_20,momentum_5
2015-03-30,18.72949981689453,18.805999755859375,18.577499389648438,18.5935001373291,36418000,0.010875428556369249,18.575500106811525,18.748274993896484,17.565899960199992,0.011702382048012078,-0.0013863120398027728
2015-03-31,18.604999542236328,18.885000228881836,18.57550048828125,18.66200065612793,50122000,-0.006647282408785982,18.555599975585938,18.717000007629395,17.61888329188029,0.01175867337073884,-0.005319610525419516
2015-04-01,18.51300048828125,18.658000946044922,18.41699981689453,18.604999542236328,49162000,-0.004944856555692212,18.548600006103516,18.685850048065184,17.67560830116272,0.011759134280169064,-0.0018869876417220155
2015-04-02,18.612499237060547,18.663999557495117,18.450000762939453,18.524999618530273,37506000,0.005374533903473866,18.59759979248047,18.64689998626709,17.739741627375285,0.011354031499718586,0.013338719358329199
2015-04-06,18.851999282836914,19.010000228881836,18.468000411987305,18.5049991607666,61014000,0.012867699427462354,18.662399673461913,18.639274978637694,17.80525828997294,0.010986126081257467,0.017487014628771114
2015-04-07,18.720500946044922,18.965499877929688,18.701499938964844,18.8075008392334,39098000,-0.006975299267686141,18.66059989929199,18.628900051116943,17.866883309682212,0.011057701490427225,-0.0004804650918383002
2015-04-08,19.059999465942383,19.07900047302246,18.732500076293945,18.732999801635742,52728000,0.018135119400701116,18.751599884033205,18.658125019073488,17.937108294169107,0.01034566965809189,0.024455787954905883
2015-04-09,19.177000045776367,19.22100067138672,18.940000534057617,19.033000946044922,47846000,0.006138540562031336,18.884399795532225,18.701049995422363,18.013883288701376,0.010108049708599041,0.03586666342473377
2015-04-10,19.13249969482422,19.356000900268555,19.06599998474121,19.215499877929688,51470000,-0.0023205063798260595,18.98839988708496,18.72207498550415,18.087141609191896,0.009085394663767768,0.02793823930578143
2015-04-13,19.118000030517578,19.263999938964844,19.006999969482422,19.17650032043457,37890000,-0.0007578551960234492,19.041600036621094,18.751525020599367,18.16138327916463,0.00873117881066366,0.014109948960311813
2015-04-14,19.25550079345703,19.390499114990234,19.06049919128418,19.175500869750977,51672000,0.007192214809078612,19.148600006103514,18.7809250831604,18.24318329493205,0.00872139873775444,0.028578286924802576
2015-04-15,19.172500610351562,19.288999557495117,19.082000732421875,19.232500076293945,38664000,-0.00431046608425123,19.171100234985353,18.809750080108643,18.320441643397015,0.00873775008680998,0.005902473639110228
2015-04-16,19.302000045776367,19.372499465942383,19.177499771118164,19.184499740600586,41608000,0.006754436369916572,19.19610023498535,18.83700008392334,18.40094164212545,0.0086664962679282,0.006518224941420403
2015-04-17,18.777999877929688,19.17799949645996,18.719999313354492,19.131500244140625,76794000,-0.027147454491968093,19.125200271606445,18.842800045013426,18.466199970245363,0.01070875096849549,-0.018528672287941084
2015-04-20,19.475500106811523,19.597000122070312,18.850000381469727,18.927499771118164,100322000,0.03714454326424965,19.196700286865234,18.870350074768066,18.532191642125447,0.013213388171066893,0.01869965873644097
2015-04-21,19.55900001525879,19.729999542236328,19.34000015258789,19.565500259399414,92870000,0.004287433338775237,19.257400131225587,18.910525035858154,18.597849973042806,0.012991976005985966,0.01576168935086253
2015-04-22,19.489999771118164,19.714000701904297,19.399999618530273,19.595500946044922,69494000,-0.0035278001987215646,19.320899963378906,18.94980001449585,18.664633305867515,0.01300926815428242,0.016560133037376357
2015-04-23,19.499500274658203,19.5939998626709,19.3075008392334,19.510499954223633,159600000,0.0004874552925402398,19.360400009155274,18.997375011444092,18.733999983469644,0.012781594502715099,0.010232112134154425
2015-04-24,22.2549991607666,22.63249969482422,21.950000762939453,21.950000762939453,343538000,0.1413112565602248,20.055799865722655,19.19174995422363,18.851658296585082,0.033291071870059065,0.18516345220150576
2015-04-27,21.92799949645996,22.34950065612793,21.870500564575195,22.19300079345703,108618000,-0.014693312812301018,20.546299743652344,19.361749935150147,18.957308292388916,0.033751879838250856,0.12592741527549678
2015-04-28,21.465499877929688,21.950000762939453,21.402000427246094,21.925500869750977,82810000,-0.02109173792187191,20.927599716186524,19.498549938201904,19.019624964396158,0.034407069090538166,0.09747430140516178
2015-04-29,21.4685001373291,21.711999893188477,21.30150032043457,21.337499618530273,72434000,0.00013977123367614475,21.32329978942871,19.64172496795654,19.073708311716715,0.03429489310767844,0.10151361669807901
2015-04-30,21.089000701904297,21.587499618530273,20.961999893188477,21.355499267578125,72958000,-0.017677035330704638,21.64119987487793,19.770524978637695,19.122233327229818,0.03465828024518267,0.08151493140118204
2015-05-01,21.14349937438965,21.281999588012695,20.799999237060547,21.19099998474121,71316000,0.0025842226123322654,21.418899917602538,19.89707498550415,19.170666662851968,0.034671063772863435,-0.049943825131048225
2015-05-04,21.152000427246094,21.488500595092773,21.121000289916992,21.239999771118164,45408000,0.0004020646112508075,21.263700103759767,20.01207504272461,19.211625003814696,0.03467069549538676,-0.03538850269214677
2015-05-05,21.059499740600586,21.375499725341797,21.051000595092773,21.142499923706055,57128000,-0.004373141299976346,21.182500076293945,20.129024982452393,19.250716654459634,0.03462309051545945,-0.01891407792215183
2015-05-06,20.954999923706055,21.13599967956543,20.727500915527344,21.071500778198242,51050000,-0.004962122471174668,21.079800033569335,20.223775005340578,19.291166655222575,0.03459744866036165,-0.023918774499303797
2015-05-07,21.3439998626709,21.424999237060547,21.142499923706055,21.207500457763672,55322000,0.018563585797238602,21.130799865722658,20.332124996185303,19.336066659291586,0.03472501549043234,0.012091571543433766
2015-05-08,21.684499740600586,21.760000228881836,21.508499145507812,21.537500381469727,58176000,0.015952955402946722,21.238999938964845,20.459724998474123,19.384858322143554,0.03473772891058368,0.02558707793026116
2015-05-11,21.642499923706055,21.950000762939453,21.568500518798828,21.625499725341797,47874000,-0.0019368589267426684,21.337099838256837,20.585949993133546,19.431258328755696,0.03475225195996181,0.023189272246238346
2015-05-12,21.551000595092773,21.662500381469727,21.335500717163086,21.554000854492188,38956000,-0.004227761531053864,21.435400009155273,20.70072498321533,19.472250016530356,0.034838401695846934,0.0233386766326944
2015-05-13,21.3435001373291,21.67650032043457,21.290000915527344,21.499000549316406,39926000,-0.00962834448674832,21.51310005187988,20.80927495956421,19.515116691589355,0.034942850234505766,0.018539738250418436
2015-05-14,21.61400032043457,21.649999618530273,21.350500106811523,21.47249984741211,37770000,0.012673656212196072,21.56710014343262,20.92487497329712,19.56420834859212,0.034975358994426636,0.012649946565820747
2015-05-15,21.299999237060547,21.520000457763672,21.21500015258789,21.399999618530273,84806000,-0.014527670894737499,21.49020004272461,21.050974941253664,19.603374989827476,0.034451724105309625,-0.017731582842103855
2015-05-18,21.261999130249023,21.363500595092773,21.072999954223633,21.299999237060547,47804000,-0.0017840426372131013,21.414099884033202,21.14029989242554,19.63802496592204,0.03374216120057398,-0.017581184927728755
