date,close,high,low,open,volume,daily_return,ma_5,ma_20,ma_60,volatility_20,momentum_5
2025-03-31,221.1660614013672,224.6409066608951,215.29165561007284,216.0682695484103,65299300,0.01941262556683898,220.86935729980468,220.97340621948243,230.55911916097006,0.019588688242757023,0.006342503374994202
2025-04-01,222.22146606445312,222.70932997882656,217.95007407622174,218.85612876373423,36412700,0.004772000986040137,220.75783996582032,220.33917083740235,230.2207239786784,0.019621572048437782,-0.0025028684837200554
2025-04-02,222.91842651367188,224.21278818927524,220.06088576879955,220.3595869543347,35905900,0.003136332693514765,221.22779235839843,219.74924240112304,229.9020673116048,0.019660160613531825,0.010653199391111423
2025-04-03,202.30825805664062,206.58960121618028,200.37667426890133,204.64805110026137,103419000,-0.09245610055374764,217.1137237548828,218.14921646118165,229.2127227783203,0.028138791760806105,-0.09229393453850776
2025-04-04,187.56253051757812,199.01262630823254,186.52703508606032,193.0486144227304,125910900,-0.07288742279088833,211.2353485107422,215.62571487426757,228.32386372884113,0.03118730523881771,-0.13547489844794647
2025-04-07,180.6725616455078,193.30748067285785,173.86223225537526,176.43103817745248,160466300,-0.03673424992218577,203.13664855957032,213.33470077514647,227.3120496114095,0.030555817632334933,-0.18309092950013106
2025-04-08,171.6717987060547,189.51403482217904,168.47573669018362,185.88983084847527,120859500,-0.04981809555074146,193.02671508789064,210.92420806884766,226.2471928914388,0.03154230176133037,-0.2274742771417817
2025-04-09,197.98709106445312,199.7394480269994,171.14407803694525,171.20381523449285,184395900,0.15328838258086197,188.0404479980469,210.02164154052736,225.6615364074707,0.048487722627161084,-0.11184062187739185
2025-04-10,189.59365844726562,193.9347385570105,182.205859833413,188.24952597387417,121880000,-0.042393837760135056,185.49752807617188,209.06281967163085,224.954554494222,0.048814586007066785,-0.06284765501670853
2025-04-11,197.29013061523438,198.67409816298056,185.25259829067514,185.29243322025624,87435900,0.04059456540372364,187.44304809570312,208.2991485595703,224.2997624715169,0.04959483013450497,0.05186323766699541
2025-04-14,201.6411590576172,212.01593914767514,200.28706023476008,210.52244846919626,101352900,0.022053958952809483,191.636767578125,207.7276382446289,223.8767842610677,0.04989270032020654,0.11605856042076401
2025-04-15,201.2628173828125,202.62686743682656,198.93297540670014,200.98403365195668,51343900,-0.0018763117439558608,197.55497131347656,207.2024269104004,223.41898930867512,0.0498814944568199,0.17236971302097848
2025-04-16,193.4269561767578,199.8290454554037,191.53519224238798,197.49920369317184,59732400,-0.03893347667468283,196.6429443359375,206.15847625732422,222.95226542154947,0.05045888319832643,-0.023032485922078627
2025-04-17,196.1251983642578,197.9671763411939,193.5763099497932,196.34424488667963,52164700,0.01394966989520463,197.94925231933593,205.30619049072266,222.5107864379883,0.05061487206175702,0.0344502024513067
2025-04-21,192.32176208496094,192.9589841185958,188.98629374468007,192.43128533414372,46742500,-0.019392899591784474,196.95557861328126,204.0561378479004,222.00873489379882,0.050453411735372974,-0.02518305662214304
2025-04-22,198.8732452392578,200.715208155226,195.1196006832811,195.26894368988752,52976400,0.03406522009403523,196.40199584960936,203.01119232177734,221.63046162923177,0.051091783487976945,-0.013726928724747456
2025-04-23,203.71214294433594,207.09738254349836,201.9199510184256,205.10606155750318,52929200,0.02433156707055595,196.89186096191406,202.0578468322754,221.2154780069987,0.05133823534125223,0.012169786716563102
2025-04-24,207.4657745361328,207.92378505310097,202.0593452871763,204.00088023313933,47311000,0.018426155346186412,199.69962463378906,201.40270233154297,220.72381540934245,0.05153517014523254,0.07257943068982597
2025-04-25,208.37181091308594,208.8397725246136,205.3051750047529,205.47443545258193,38222300,0.0043671606990545175,202.1489471435547,200.67736282348633,220.22901992797853,0.051476517888340755,0.062442830655971227
