date,close,high,low,open,volume,daily_return,momentum_5,momentum_20,ma_20_ratio,ma_5_20_spread,volatility_20
2025-02-03,23.760000228881836,24.200000762939453,23.510000228881836,24.0,7640300,-0.04883904466418065,-0.06382974725976442,-0.12647060432236046,0.11938130299043537,-0.06183144280408892,0.03118406270860319
2025-02-04,22.920000076293945,23.799999237060547,22.920000076293945,23.65999984741211,9533200,-0.03535354143502134,-0.07877810090779214,-0.20416664293518705,0.14757853270799148,-0.06624844879946223,0.02776011103442719
2025-02-05,22.43000030517578,23.170000076293945,22.290000915527344,23.020000457763672,9331400,-0.021378698494201487,-0.11553628685560047,-0.22468026033297706,0.15815870279886202,-0.07712443017845005,0.02760292078201003
2025-02-06,21.959999084472656,22.950000762939453,21.860000610351562,22.81999969482422,7908700,-0.020954133495694638,-0.14817693950457023,-0.24794525648286225,0.16646179604848754,-0.09390799041176723,0.027182818358260363
2025-02-07,22.40999984741211,22.579999923706055,21.649999618530273,21.8799991607666,8861100,0.020491838875241086,-0.10288229551321038,-0.22750776730083866,0.12831325865196663,-0.10241047440091533,0.02821421732961712
2025-02-10,21.68000030517578,22.3700008392334,21.43000030517578,22.290000915527344,8907200,-0.032574723213156465,-0.0875420834877636,-0.18983557101106652,0.15458946520689998,-0.10992150046720206,0.024266304720289008
2025-02-11,22.040000915527344,22.34000015258789,21.440000534057617,21.540000915527344,5373500,0.016605193970666843,-0.0383943786141947,-0.1876151272647305,0.1241832584644218,-0.10788230816019595,0.0244185070345264
2025-02-12,21.280000686645508,21.670000076293945,21.100000381469727,21.5,9856000,-0.034482767573136064,-0.05127060200105782,-0.20803870405637748,0.1511982729173802,-0.10709255500418557,0.02502083794181651
2025-02-13,22.65999984741211,22.719999313354492,21.309999465942383,21.469999313354492,9266600,0.06484958252997775,0.031876174504688715,-0.16996335235605076,0.07085173133554967,-0.09278604363639198,0.029760637656736935
2025-02-14,22.34000015258789,23.389999389648438,22.31999969482422,23.059999465942383,7155500,-0.01412178715706236,-0.003123591936672998,-0.19028633457646282,0.07444046126758952,-0.08344788907490375,0.029420838206165572
2025-02-18,22.739999771118164,23.229999542236328,22.25,22.479999542236328,7623100,0.017905085756408923,0.04889296360799977,-0.16489165797280847,0.04566843972925039,-0.06587883172500275,0.030064072500286382
2025-02-19,26.09000015258789,26.219999313354492,23.989999771118164,24.09000015258789,25278400,0.14731752045681756,0.18375676355835768,-0.026855625799960592,-0.08997700361891803,-0.03034642471928961,0.04593669038124738
2025-02-20,25.530000686645508,26.0,24.440000534057617,25.299999237060547,34240600,-0.021464141919019353,0.19971803866844473,0.007100603647617998,-0.06966316134398376,0.005073363438628631,0.044462142080620305
2025-02-21,32.619998931884766,34.439998626708984,30.1200008392334,34.11000061035156,62380500,0.2777124189012641,0.4395410040397745,0.30271556466505767,-0.26025441996777743,0.0718385406955897,0.07595351238424033
2025-02-24,31.3700008392334,33.4900016784668,30.559999465942383,32.45000076293945,18674300,-0.0383199918326651,0.404207727169575,0.2173069570040549,-0.22185210721889181,0.13352860531660782,0.07682005006954543
2025-02-25,26.8799991607666,31.440000534057617,26.709999084472656,31.3700008392334,20311200,-0.14313042901966722,0.1820580224854096,0.05910165680063373,-0.0890810709053329,0.16387249174025276,0.08420826201469093
2025-02-26,27.209999084472656,27.84000015258789,26.709999084472656,27.139999389648438,9288900,0.012276783259268731,0.042928283838038706,0.09364951777732555,-0.09584708292711919,0.16746604695383427,0.08399853315077964
2025-02-27,25.989999771118164,27.889999389648438,25.969999313354492,27.219999313354492,8299500,-0.04483643345841504,0.018017981672569183,0.024842237602685557,-0.052193142718335195,0.16970789993435909,0.08474806543348613
2025-02-28,25.690000534057617,26.399999618530273,25.309999465942383,25.510000228881836,8374500,-0.011542871862350923,-0.2124463097714374,-0.003491084181177384,-0.04130013685541689,0.1136465094879171,0.08476812951184085
2025-03-03,25.649999618530273,27.5,25.520000457763672,26.200000762939453,10433600,-0.001557061685316552,-0.18233984914496126,0.026821460711442535,-0.03849901104157816,0.06574757764983508,0.08440155017629157
2025-03-04,25.899999618530273,26.6200008392334,24.040000915527344,24.739999771118164,15580100,0.009746588838909442,-0.03645831744171746,0.09006731351151798,-0.043648635741254216,0.053230778073188656,0.08346693532359559
