date,close,high,low,open,volume
2015-01-02,25.95555877685547,26.27505258970549,25.920444764347867,26.163278374900965,28951268
2015-01-05,25.414499282836914,25.931820385968408,25.374440060893726,25.878900593032547,41196796
2015-01-06,24.82546615600586,25.528499383228933,24.7804617228449,25.470386550497906,57998800
2015-01-07,24.782936096191406,25.086799754612336,24.711222986368455,25.074731853497486,41301082
2015-01-08,24.86107635498047,24.90064181528337,24.28341760765092,24.62912256697824,67071641
2015-01-09,24.539112091064453,24.971859554615378,24.470861009115723,24.963947975916774,41427428
2015-01-12,24.360074996948242,24.52951557824538,24.113283697764697,24.478277609129634,46535413
2015-01-13,24.53960609436035,24.875912514105345,24.35216297224821,24.671161158081514,47409807
2015-01-14,24.771560668945312,24.888278215465178,24.38233254761433,24.463937969143778,44714427
2015-01-15,24.817058563232422,25.009446884062523,24.617746192505688,25.004006018624622,54316718
2015-01-16,25.128141403198242,25.133582268233944,24.728527271040456,24.729022927034666,45965854
2015-01-20,25.069786071777344,25.346744301454347,25.02606618019525,25.272560480225067,44640224
2015-01-21,25.62073516845703,25.682062194238306,25.035163000673105,25.08709337232057,45374234
2015-01-22,26.429359436035156,26.525306720883883,25.70283737066071,25.790869293011514,53538588
2015-01-23,26.70433807373047,26.81413344844312,26.360611977844812,26.488706896979043,45634948
2015-01-26,26.469913482666016,26.657356600952063,26.19592352113706,26.63411184570756,30874534
2015-01-27,25.649913787841797,26.24686143238875,25.62815221963464,26.210756109496145,38080263
2015-01-28,25.223100662231445,25.86554843107993,25.223100662231445,25.855162356422976,33676205
2015-01-29,25.2557430267334,25.277008941057364,24.787879668887562,25.27255938759326,83727244
2015-01-30,26.435791015625,26.700386235322437,25.496106527405004,25.51292288990181,112127002
2015-02-02,26.137069702148438,26.36061436907529,25.645959677943015,26.297804152032548,56996054
2015-02-03,26.174654006958008,26.380394765660586,25.87890060217607,26.113326979888765,40773638
2015-02-04,25.85417366027832,26.34439261418195,25.78048360720586,26.174655015553707,33273101
2015-02-05,26.09255599975586,26.138057980850718,25.82103675675414,25.9051147771183,36995292
2015-02-06,26.261701583862305,26.568334864655522,26.03469299246043,26.09552626272268,35270570
2015-02-09,26.104921340942383,26.311157768263914,26.015404345409657,26.1133285755708,25355423
2015-02-10,26.55547523498535,26.59306374735161,26.059915658467716,26.177622621622188,34997823
2015-02-11,26.50749969482422,26.630153746325046,26.37930640368378,26.474362631461037,27555446
2015-02-12,26.851720809936523,26.94519548324695,26.44335510448995,26.57080680942667,32404724
2015-02-13,27.152423858642578,27.19693453095568,26.861615628563627,26.872497360421196,38006060
2015-02-17,26.847270965576172,27.201383141962975,26.760720343078717,27.044604493053484,32336537
2015-02-18,26.691978454589844,26.978335240919126,26.58366625047723,26.776056481721646,29061570
2015-02-19,26.8487548828125,26.860624142274137,26.60839386553811,26.60987705001658,19782163
2015-02-20,26.654884338378906,26.892278995276936,26.499093208000353,26.861614533439585,28887092
2015-02-23,26.306703567504883,26.530694673657557,26.18306009854525,26.51145489705644,29157834
2015-02-24,26.513437271118164,26.548057522713723,26.12569423688194,26.212242974053815,20101036
2015-02-25,26.898212432861328,27.014436205424,26.481535972301824,26.50403913458119,36519991
2015-02-26,27.472408294677734,27.505051596901865,26.78100026258503,26.865572049465793,46230579
2015-02-27,27.6168212890625,27.928895390496358,27.344806408638956,27.41108053522377,48203982
2015-03-02,28.25679588317871,28.296855103411843,27.634130876772456,27.72216467862977,42592618
2015-03-03,28.370548248291016,28.457096977658214,28.018413025892876,28.212780181544698,34095352
2015-03-04,28.357194900512695,28.542163516462214,28.09210594608448,28.283009191719426,37536775
2015-03-05,28.454132080078125,28.58173135001178,28.35917421987397,28.43879890366352,27792094
2015-03-06,28.076030731201172,28.520897148869235,28.030282815112287,28.431873921369665,33182854
2015-03-09,28.133651733398438,28.203879764903775,27.87078754177073,28.03522995280835,21242161
2015-03-10,27.44916534423828,27.935822021576488,27.435317243889134,27.906148872126167,35846146
2015-03-11,27.259742736816406,27.60396450497767,27.23501479755937,27.455593085801556,36415706
2015-03-12,27.473896026611328,27.51642786037195,27.224136431161153,27.374982365541403,27792094
2015-03-13,27.06884002685547,27.616823733341565,26.91552339514572,27.37448386999432,34071287
2015-03-16,27.4244327545166,27.540162755276434,27.003552704347527,27.248365148822742,32819860
2015-03-17,27.242929458618164,27.38932204367111,27.102471503573632,27.285956945041935,36110871
2015-03-18,27.671226501464844,27.685074601653458,27.05301287797633,27.325025888566454,42690887
2015-03-19,27.596548080444336,27.73552096004785,27.505298177438675,27.66578669221413,23945563
2015-03-20,27.713756561279297,27.781020109199243,27.648969401609307,27.7775580843731,52337299
2015-03-23,27.63709831237793,27.812672158691846,27.489716320749224,27.717220539570782,32876014
2015-03-24,28.199918746948242,28.417530649651418,27.755795835321525,27.82256183377582,51665459
