date,close,high,low,open,volume
2025-01-02,14.924556732177734,15.257858269817923,14.831972284982674,15.091206618047103,3417100
2025-01-03,14.970848083496094,15.063432530757153,14.869005014918786,14.943072219547341,3807800
2025-01-06,14.637545585632324,15.09120654938163,14.628286964364799,14.970848004706701,3911800
2025-01-07,14.24869155883789,14.637544801742287,13.998714095706205,14.628286180970592,7357400
2025-01-08,14.054265975952148,14.156108163114578,13.915389302966211,14.1468495416587,4493900
2025-01-10,13.832061767578125,14.174623655535072,13.785770431916955,13.933904825114213,5814100
2025-01-13,13.896872520446777,13.91538887984477,13.637636425269179,13.832063055177022,4203600
2025-01-14,14.007972717285156,14.035747696651164,13.804287475049527,13.961680496374694,3733600
2025-01-15,14.007972717285156,14.257949297480573,13.85057969595999,14.220915697342338,3139100
2025-01-16,13.748738288879395,13.952422659609676,13.637636599271048,13.92464767868295,4487000
2025-01-17,13.517276763916016,13.887612750755917,13.489500902690043,13.850579152071928,4069400
2025-01-21,13.119165420532227,13.452467821509972,13.082131820423589,13.313592041840247,7023600
2025-01-22,13.119165420532227,13.276558441731607,12.94325515780319,13.082131820423589,5214000
2025-01-23,13.165457725524902,13.221007684567454,12.943255240502662,13.091390524834383,4050200
2025-01-24,13.23952579498291,13.35988522474057,13.165458589432157,13.165458589432157,4776000
2025-01-27,13.45246696472168,13.56356775797158,13.248782618572172,13.304332573721814,4741400
2025-01-28,13.526535987854004,13.674671281819728,13.267300768577776,13.406176558166642,5522300
2025-01-29,13.720962524414062,13.832063331876641,13.517278152208034,13.563569493104394,4687400
2025-01-30,13.785772323608398,13.850580908787611,13.64689564871626,13.785772323608398,3501700
2025-01-31,13.730219841003418,13.92464645632443,13.656152643066903,13.795028418460207,3187600
2025-02-03,13.915389060974121,14.054265731544959,13.452468591639446,13.545053038686671,4336800
2025-02-04,13.961681365966797,14.045007192205377,13.878355539728219,13.896872782426003,2731900
2025-02-05,13.841322898864746,13.989457318935282,13.822806537831324,13.952423713917648,3256100
2025-02-06,13.822805404663086,14.017232035804621,13.795029540963782,13.878355366160257,2813100
2025-02-07,13.359884262084961,13.869096042817105,13.341367020556177,13.804287463367707,5643500
2025-02-10,13.276558876037598,13.470985503705748,13.193233052329719,13.396918301065567,6012200
2025-02-11,13.258040428161621,13.517276496776965,13.174714612031734,13.221006830209518,5291900
2025-02-12,13.165457725524902,13.30433350608196,13.156199104700919,13.221007684567454,5605500
2025-02-13,13.665411949157715,13.720961908921788,12.702537444723742,12.961772650507703,9413000
2025-02-14,13.23952579498291,13.970940112009657,13.221008552119853,13.970940112009657,8628500
2025-02-18,13.878355979919434,13.943165448466571,13.322851925627408,13.406176871558143,9043600
2025-02-19,14.359792709350586,14.406084931387026,13.785771451770543,13.785771451770543,12662700
2025-02-20,14.109814643859863,14.332016240703958,14.091298285598185,14.31349988244228,5925900
2025-02-21,14.082039833068848,14.396825873830455,14.045006233152817,14.211657874250294,6266600
2025-02-24,14.757903099060059,14.85974527703417,14.16536550655517,14.16536550655517,9300300
2025-02-25,14.73012924194336,14.998623962683066,14.619028434887651,14.757904222969605,5753800
2025-02-26,14.350534439086914,14.785679924143492,14.276467235198652,14.730129079751938,6018100
2025-02-27,14.44311809539795,14.535701653718686,14.257949212855136,14.378308633327697,4420100
2025-02-28,14.350534439086914,14.656061875863676,14.304242215919071,14.415343021751465,7435000
2025-03-03,14.049408912658691,14.44463682254399,13.945896285473053,14.44463682254399,5044200
2025-03-04,14.039999008178711,14.350535105889168,13.974127986672055,13.983537491583464,6558800
2025-03-05,14.068228721618652,14.359944899719384,13.974127394514625,14.021177609353977,5653200
2025-03-06,14.26584243774414,14.32230395100705,13.83297382747953,14.105869197162091,5879500
2025-03-07,14.614018440246582,14.708120658144733,14.19997065583029,14.322303180127783,8103700
2025-03-10,14.661069869995117,14.858683813965024,14.501096634523035,14.585788452999465,5535500
2025-03-11,14.5575590133667,14.71753225837048,14.265842832058237,14.71753225837048,6126900
2025-03-12,14.350534439086914,14.585789102022764,14.002357645632893,14.519918083576828,6543000
2025-03-13,14.350534439086914,14.651660120468701,14.275253018741466,14.397585551159148,4003200
