date,close,high,low,open,volume,daily_return,momentum_5,momentum_20,ma_20_ratio,ma_5_20_spread,volatility_20
2025-02-03,40.2400016784668,40.81999969482422,38.650001525878906,40.06999969482422,1615100,-0.02989387361267748,0.002491337576954411,0.17454768388517472,-0.06907309211820434,0.10623191212537564,0.022469005534090716
2025-02-04,40.81999969482422,41.20500183105469,40.31999969482422,40.58000183105469,922500,0.014413468990181144,-0.027400559743410935,0.14277710805802446,-0.07605339193127048,0.09265422245277666,0.021042708505805252
2025-02-05,42.95000076293945,43.22999954223633,40.83000183105469,40.83000183105469,1744300,0.05218033032923586,0.027266188763549914,0.20646074729922637,-0.11331781845505196,0.08809705331792883,0.02317383409766757
2025-02-06,43.9900016784668,44.0,42.654998779296875,43.2599983215332,1104300,0.024214223447109662,0.054916088096635285,0.25937593169584217,-0.12398274671200249,0.08719120277920123,0.02237223215323687
2025-02-07,44.779998779296875,45.79999923706055,43.810001373291016,44.0,1650000,0.017958560370248566,0.07955639521404478,0.2987238797507392,-0.12793654602750137,0.0897544257035161,0.021629574341919516
2025-02-10,45.93000030517578,46.15999984741211,45.02000045776367,45.45000076293945,986000,0.02568114241241526,0.14140155043168923,0.3500881742255868,-0.13680600624205075,0.10208971301149439,0.020838372465560074
2025-02-11,45.2400016784668,46.459999084472656,44.70000076293945,45.25,841800,-0.015022830875775717,0.10828030418145773,0.351254548895521,-0.11064325794022378,0.10795461812548002,0.02077213865965113
2025-02-12,45.310001373291016,45.79899978637695,44.20000076293945,44.52000045776367,777100,0.0015472964683274082,0.05494762673876252,0.3501191751842814,-0.09905099831659969,0.10357160862395198,0.02080066996834377
2025-02-13,45.84000015258789,45.900001525878906,44.439998626708984,45.41999816894531,897500,0.011697169791067275,0.04205497621125742,0.33878498555729397,-0.09681500241206364,0.09704845150123198,0.020781857034466594
2025-02-14,44.5099983215332,45.65999984741211,44.34000015258789,45.65999984741211,886600,-0.029014001453479543,-0.006029487832154734,0.2619789550282132,-0.05944727254277482,0.08365182541017191,0.022628481725550167
2025-02-18,46.689998626708984,47.02000045776367,44.44499969482422,44.56999969482422,1362100,0.04897776651052199,0.01654688257094472,0.29227780920031465,-0.09205394205957551,0.07374032405939501,0.023968705447564017
2025-02-19,44.27000045776367,46.47999954223633,44.209999084472656,46.08000183105469,1234100,-0.051831189550752166,-0.021441228663013567,0.188137478583279,-0.03450418199216465,0.06039654823114238,0.02759475545368876
2025-02-20,43.040000915527344,44.33000183105469,41.869998931884766,43.88999938964844,1429200,-0.027784041778129764,-0.05009932440879983,0.12464072121002556,-0.001370831463948563,0.04394963710341693,0.028418316960455454
2025-02-21,39.29999923706055,43.79999923706055,39.2599983215332,43.45000076293945,1845900,-0.08689594793009248,-0.14267017656539271,0.0147172657258261,0.0943893421821369,0.012845980420495229,0.03517071830799222
2025-02-24,37.16999816894531,39.55500030517578,36.24399948120117,39.310001373291016,3886300,-0.05419850151311478,-0.16490677217206096,-0.0749129445835951,0.15305360014253022,-0.017849243358819544,0.03617340657961252
2025-02-25,40.83000183105469,45.0,40.400001525878906,45.0,4218100,0.0984666086200463,-0.12550860929565522,0.017189896659146164,0.050538780418075024,-0.04596267944828358,0.04274113107761993
