date,close,high,low,open,volume,daily_return,momentum_5,momentum_20,ma_20_ratio,ma_5_20_spread,volatility_20
2025-02-03,2.869999885559082,2.944999933242798,2.819999933242798,2.880000114440918,4874400,-0.04333337148030603,-0.06514659675332912,-0.062091523128550485,0.1125436048491848,-0.06608206949117512,0.03633673802387309
2025-02-04,3.059999942779541,3.0899999141693115,2.880000114440918,2.880000114440918,4576500,0.06620211316957825,0.00327868544904808,-0.03470035674037131,0.041666690041037624,-0.06384315092856041,0.038584783665627974
2025-02-05,3.0999999046325684,3.119999885559082,3.0409998893737793,3.069999933242798,3194400,0.01307188320294328,0.04377100160607417,-0.09090914175816012,0.023225838852723557,-0.05107189783586508,0.03433382712379838
2025-02-06,3.069999933242798,3.188999891281128,3.0399999618530273,3.119999885559082,5000500,-0.009677410423445276,0.016556275705983392,-0.1049563051043193,0.027361584615338108,-0.042485752411089095,0.034270157811161765
2025-02-07,3.0299999713897705,3.0999999046325684,3.002000093460083,3.059999942779541,3170800,-0.01302930381851053,0.009999990463256836,-0.07902735364070246,0.03663367205295942,-0.03661256582731476,0.03328941056887465
2025-02-10,2.9700000286102295,3.0799999237060547,2.950000047683716,3.059999942779541,3937000,-0.01980196150035629,0.034843256807889134,-0.05414014987720306,0.0547137921454004,-0.027613738839256108,0.03205266574435655
2025-02-11,2.9000000953674316,2.940000057220459,2.8299999237060547,2.9200000762939453,4837400,-0.023569000864809175,-0.05228753281177323,-0.09374998370185517,0.07499996300401479,-0.0331996820341226,0.03197392705234368
2025-02-12,3.0299999713897705,3.0799999237060547,2.869999885559082,2.880000114440918,5709200,0.044827541981810715,-0.02258062432137231,-0.07621951285995665,0.02475248334984559,-0.03381642363699766,0.03321732092827702
2025-02-13,3.130000114440918,3.1500000953674316,3.0399999618530273,3.069999933242798,3776700,0.03300334785326098,0.01954403338854238,-0.07669616000516499,-0.012140612569670806,-0.025873208143556536,0.03318628673847921
2025-02-14,3.0,3.119999885559082,2.9600000381469727,3.119999885559082,5171300,-0.04153358136989671,-0.009900980750178201,-0.12790699125045413,0.02333333094914747,-0.020846889587909256,0.03393917253468948
2025-02-18,3.069999933242798,3.125,3.009999990463257,3.0299999713897705,5001100,0.023333311080932617,0.033670001235441616,-0.12034386107342598,-0.006840372855601573,-0.007543445794454762,0.034278353918779265
2025-02-19,3.0799999237060547,3.109999895095825,3.009999990463257,3.049999952316284,3902600,0.003257325954627577,0.06206890428250733,-0.03750003818422498,-0.012012968113217282,0.006243840233068898,0.029077820747398193
